NUMBER_OF_POINTS: 196
NUMBER_OF_CONSTRAINTS: 1288
137 131 1
137 138 0.6
137 144 0.8
137 145 1
138 132 1
138 139 0.6
138 145 0.8
138 146 1
139 146 0.8
140 134 1
140 141 0.6
140 147 0.8
140 148 1
141 135 1
141 142 0.6
141 148 0.8
141 149 1
142 136 1
142 143 0.6
142 149 0.8
142 150 1
143 137 1
143 144 0.6
143 150 0.8
143 151 1
144 138 1
144 145 0.6
144 151 0.8
144 152 1
145 139 1
145 146 0.6
145 152 0.8
145 153 1
146 153 0.8
147 141 1
147 148 0.6
147 154 0.8
147 155 1
148 142 1
148 149 0.6
148 155 0.8
148 156 1
149 143 1
149 150 0.6
149 156 0.8
149 157 1
150 144 1
150 151 0.6
150 157 0.8
150 158 1
151 145 1
151 152 0.6
151 158 0.8
151 159 1
152 146 1
152 153 0.6
152 159 0.8
152 160 1
153 160 0.8
154 148 1
154 155 0.6
154 161 0.8
154 162 1
155 149 1
155 156 0.6
155 162 0.8
155 163 1
156 150 1
156 157 0.6
156 163 0.8
156 164 1
157 151 1
157 158 0.6
157 164 0.8
157 165 1
158 152 1
158 159 0.6
158 165 0.8
158 166 1
159 153 1
159 160 0.6
159 166 0.8
159 167 1
160 167 0.8
161 155 1
161 162 0.6
161 168 0.8
161 169 1
162 156 1
162 163 0.6
162 169 0.8
162 170 1
163 157 1
163 164 0.6
163 170 0.8
163 171 1
164 158 1
164 165 0.6
164 171 0.8
164 172 1
165 159 1
165 166 0.6
165 172 0.8
165 173 1
166 160 1
166 167 0.6
166 173 0.8
166 174 1
167 174 0.8
168 162 1
168 169 0.6
168 175 0.8
168 176 1
169 163 1
169 170 0.6
169 176 0.8
169 177 1
170 164 1
170 171 0.6
170 177 0.8
170 178 1
171 165 1
171 172 0.6
171 178 0.8
171 179 1
172 166 1
172 173 0.6
172 179 0.8
172 180 1
173 167 1
173 174 0.6
173 180 0.8
173 181 1
174 181 0.8
175 169 1
175 176 0.6
175 182 0.8
175 183 1
176 170 1
176 177 0.6
176 183 0.8
176 184 1
177 171 1
177 178 0.6
177 184 0.8
177 185 1
178 172 1
178 179 0.6
178 185 0.8
178 186 1
179 173 1
179 180 0.6
179 186 0.8
179 187 1
180 174 1
180 181 0.6
180 187 0.8
180 188 1
181 188 0.8
182 176 1
182 183 0.6
182 189 0.8
182 190 1
183 177 1
183 184 0.6
183 190 0.8
183 191 1
184 178 1
184 185 0.6
184 191 0.8
184 192 1
185 179 1
185 186 0.6
185 192 0.8
185 193 1
186 180 1
186 187 0.6
186 193 0.8
186 194 1
187 181 1
187 188 0.6
187 194 0.8
187 195 1
188 195 0.8
189 190 0.6
189 183 0.6
190 191 0.6
190 184 0.6
191 192 0.6
191 185 0.6
192 193 0.6
192 186 0.6
193 194 0.6
193 187 0.6
194 195 0.6
194 188 0.6
0 195 0.8
0 194 1
6 189 0.8
6 190 1
1 194 0.8
1 193 1
1 195 1
2 193 0.8
2 192 1
2 194 1
3 192 0.8
3 191 1
3 193 1
4 191 0.8
4 190 1
4 192 1
5 190 0.8
5 189 1
5 191 1
0 1 3
0 2 6
0 3 9
0 4 12
0 5 15
0 6 18
1 2 3
1 3 6
1 4 9
1 5 12
1 6 15
2 3 3
2 4 6
2 5 9
2 6 12
3 4 3
3 5 6
3 6 9
4 5 3
4 6 6
5 6 3
7 8 3
7 9 6
7 10 9
7 11 12
7 12 15
7 13 18
8 9 3
8 10 6
8 11 9
8 12 12
8 13 15
9 10 3
9 11 6
9 12 9
9 13 12
10 11 3
10 12 6
10 13 9
11 12 3
11 13 6
12 13 3
14 15 3
14 16 6
14 17 9
14 18 12
14 19 15
14 20 18
15 16 3
15 17 6
15 18 9
15 19 12
15 20 15
16 17 3
16 18 6
16 19 9
16 20 12
17 18 3
17 19 6
17 20 9
18 19 3
18 20 6
19 20 3
21 22 3
21 23 6
21 24 9
21 25 12
21 26 15
21 27 18
22 23 3
22 24 6
22 25 9
22 26 12
22 27 15
23 24 3
23 25 6
23 26 9
23 27 12
24 25 3
24 26 6
24 27 9
25 26 3
25 27 6
26 27 3
28 29 3
28 30 6
28 31 9
28 32 12
28 33 15
28 34 18
29 30 3
29 31 6
29 32 9
29 33 12
29 34 15
30 31 3
30 32 6
30 33 9
30 34 12
31 32 3
31 33 6
31 34 9
32 33 3
32 34 6
33 34 3
35 36 3
35 37 6
35 38 9
35 39 12
35 40 15
35 41 18
36 37 3
36 38 6
36 39 9
36 40 12
36 41 15
37 38 3
37 39 6
37 40 9
37 41 12
38 39 3
38 40 6
38 41 9
39 40 3
39 41 6
40 41 3
42 43 3
42 44 6
42 45 9
42 46 12
42 47 15
42 48 18
43 44 3
43 45 6
43 46 9
43 47 12
43 48 15
44 45 3
44 46 6
44 47 9
44 48 12
45 46 3
45 47 6
45 48 9
46 47 3
46 48 6
47 48 3
49 50 3
49 51 6
49 52 9
49 53 12
49 54 15
49 55 18
50 51 3
50 52 6
50 53 9
50 54 12
50 55 15
51 52 3
51 53 6
51 54 9
51 55 12
52 53 3
52 54 6
52 55 9
53 54 3
53 55 6
54 55 3
56 57 3
56 58 6
56 59 9
56 60 12
56 61 15
56 62 18
57 58 3
57 59 6
57 60 9
57 61 12
57 62 15
58 59 3
58 60 6
58 61 9
58 62 12
59 60 3
59 61 6
59 62 9
60 61 3
60 62 6
61 62 3
63 64 3
63 65 6
63 66 9
63 67 12
63 68 15
63 69 18
64 65 3
64 66 6
64 67 9
64 68 12
64 69 15
65 66 3
65 67 6
65 68 9
65 69 12
66 67 3
66 68 6
66 69 9
67 68 3
67 69 6
68 69 3
70 71 3
70 72 6
70 73 9
70 74 12
70 75 15
70 76 18
71 72 3
71 73 6
71 74 9
71 75 12
71 76 15
72 73 3
72 74 6
72 75 9
72 76 12
73 74 3
73 75 6
73 76 9
74 75 3
74 76 6
75 76 3
77 78 3
77 79 6
77 80 9
77 81 12
77 82 15
77 83 18
78 79 3
78 80 6
78 81 9
78 82 12
78 83 15
79 80 3
79 81 6
79 82 9
79 83 12
80 81 3
80 82 6
80 83 9
81 82 3
81 83 6
82 83 3
84 85 3
84 86 6
84 87 9
84 88 12
84 89 15
84 90 18
85 86 3
85 87 6
85 88 9
85 89 12
85 90 15
86 87 3
86 88 6
86 89 9
86 90 12
87 88 3
87 89 6
87 90 9
88 89 3
88 90 6
89 90 3
91 92 3
91 93 6
91 94 9
91 95 12
91 96 15
91 97 18
92 93 3
92 94 6
92 95 9
92 96 12
92 97 15
93 94 3
93 95 6
93 96 9
93 97 12
94 95 3
94 96 6
94 97 9
95 96 3
95 97 6
96 97 3
98 99 3
98 100 6
98 101 9
98 102 12
98 103 15
98 104 18
99 100 3
99 101 6
99 102 9
99 103 12
99 104 15
100 101 3
100 102 6
100 103 9
100 104 12
101 102 3
101 103 6
101 104 9
102 103 3
102 104 6
103 104 3
105 106 3
105 107 6
105 108 9
105 109 12
105 110 15
105 111 18
106 107 3
106 108 6
106 109 9
106 110 12
106 111 15
107 108 3
107 109 6
107 110 9
107 111 12
108 109 3
108 110 6
108 111 9
109 110 3
109 111 6
110 111 3
112 113 3
112 114 6
112 115 9
112 116 12
112 117 15
112 118 18
113 114 3
113 115 6
113 116 9
113 117 12
113 118 15
114 115 3
114 116 6
114 117 9
114 118 12
115 116 3
115 117 6
115 118 9
116 117 3
116 118 6
117 118 3
119 120 3
119 121 6
119 122 9
119 123 12
119 124 15
119 125 18
120 121 3
120 122 6
120 123 9
120 124 12
120 125 15
121 122 3
121 123 6
121 124 9
121 125 12
122 123 3
122 124 6
122 125 9
123 124 3
123 125 6
124 125 3
126 127 3
126 128 6
126 129 9
126 130 12
126 131 15
126 132 18
127 128 3
127 129 6
127 130 9
127 131 12
127 132 15
128 129 3
128 130 6
128 131 9
128 132 12
129 130 3
129 131 6
129 132 9
130 131 3
130 132 6
131 132 3
133 134 3
133 135 6
133 136 9
133 137 12
133 138 15
133 139 18
134 135 3
134 136 6
134 137 9
134 138 12
134 139 15
135 136 3
135 137 6
135 138 9
135 139 12
136 137 3
136 138 6
136 139 9
137 138 3
137 139 6
138 139 3
140 141 3
140 142 6
140 143 9
140 144 12
140 145 15
140 146 18
141 142 3
141 143 6
141 144 9
141 145 12
141 146 15
142 143 3
142 144 6
142 145 9
142 146 12
143 144 3
143 145 6
143 146 9
144 145 3
144 146 6
145 146 3
147 148 3
147 149 6
147 150 9
147 151 12
147 152 15
147 153 18
148 149 3
148 150 6
148 151 9
148 152 12
148 153 15
149 150 3
149 151 6
149 152 9
149 153 12
150 151 3
150 152 6
150 153 9
151 152 3
151 153 6
152 153 3
154 155 3
154 156 6
154 157 9
154 158 12
154 159 15
154 160 18
155 156 3
155 157 6
155 158 9
155 159 12
155 160 15
156 157 3
156 158 6
156 159 9
156 160 12
157 158 3
157 159 6
157 160 9
158 159 3
158 160 6
159 160 3
161 162 3
161 163 6
161 164 9
161 165 12
161 166 15
161 167 18
162 163 3
162 164 6
162 165 9
162 166 12
162 167 15
163 164 3
163 165 6
163 166 9
163 167 12
164 165 3
164 166 6
164 167 9
165 166 3
165 167 6
166 167 3
168 169 3
168 170 6
168 171 9
168 172 12
168 173 15
168 174 18
169 170 3
169 171 6
169 172 9
169 173 12
169 174 15
170 171 3
170 172 6
170 173 9
170 174 12
171 172 3
171 173 6
171 174 9
172 173 3
172 174 6
173 174 3
175 176 3
175 177 6
175 178 9
175 179 12
175 180 15
175 181 18
176 177 3
176 178 6
176 179 9
176 180 12
176 181 15
177 178 3
177 179 6
177 180 9
177 181 12
178 179 3
178 180 6
178 181 9
179 180 3
179 181 6
180 181 3
182 183 3
182 184 6
182 185 9
182 186 12
182 187 15
182 188 18
183 184 3
183 185 6
183 186 9
183 187 12
183 188 15
184 185 3
184 186 6
184 187 9
184 188 12
185 186 3
185 187 6
185 188 9
186 187 3
186 188 6
187 188 3
189 190 3
189 191 6
189 192 9
189 193 12
189 194 15
189 195 18
190 191 3
190 192 6
190 193 9
190 194 12
190 195 15
191 192 3
191 193 6
191 194 9
191 195 12
192 193 3
192 194 6
192 195 9
193 194 3
193 195 6
194 195 3
END_CONSTRAINTS_STARTING_POINTS
1.73798 7.55343 4.34544 0
2.30617 1.35675 8.59809 0
8.21414 4.64127 6.08168 0
2.97724 4.12449 3.10161 0
4.2724 8.64256 7.77728 0
8.74354 8.53914 4.88591 0
7.6661 5.41277 8.57931 0
5.51816 8.16779 8.64848 0
6.46002 1.81924 3.55939 0
7.06832 5.24563 6.51495 0
3.38741 6.63011 2.93819 0
6.14245 6.30412 1.98129 0
6.08735 4.78089 6.17278 0
3.31278 2.0849 6.20374 0
9.86146 2.65556 5.60706 0
1.16998 9.98372 2.4963 0
9.88549 4.97859 4.96907 0
0.504545 8.60888 6.21127 0
4.97433 6.57101 0.213824 0
6.54281 5.76486 4.46995 0
9.09608 3.08019 5.15245 0
6.99395 0.587725 3.16307 0
9.0035 8.65322 0.627315 0
1.05657 1.89997 7.69304 0
3.00242 6.26352 8.13029 0
2.70215 3.8607 2.75192 0
1.92682 4.57475 8.86505 0
3.36415 3.45499 8.01911 0
3.3911 3.87877 6.44276 0
9.70503 7.15514 8.96697 0
0.69156 3.51131 5.58194 0
3.4482 8.79017 0.743149 0
6.05957 0.792196 6.20702 0
6.70698 3.69804 5.00516 0
3.01286 4.37393 9.57836 0
4.81138 9.46383 7.38558 0
1.12251 0.488624 4.37416 0
5.13466 5.974 3.05918 0
5.19425 2.18136 3.33662 0
6.21615 9.66733 3.44769 0
7.9266 8.30253 9.68319 0
5.53804 2.92208 9.77232 0
5.71203 7.92185 6.56676 0
2.99676 3.95268 0.796354 0
4.02144 4.868 6.19844 0
6.58203 4.78816 9.48645 0
9.57658 8.12697 3.13242 0
5.18709 2.58735 6.9351 0
1.19616 1.09474 4.58635 0
1.42599 2.29696 2.72728 0
4.23213 1.85651 2.63367 0
1.0586 0.580207 6.04541 0
8.67936 5.34445 7.49211 0
0.596448 1.84755 4.76078 0
6.62932 4.17874 1.40383 0
6.53285 6.73698 0.244634 0
1.58501 5.70072 8.37102 0
9.81979 4.63139 1.69411 0
8.8167 4.57692 1.34445 0
1.77697 4.38699 8.83559 0
0.706579 4.20014 6.91814 0
3.80254 5.27678 7.34708 0
1.20038 1.99355 4.73898 0
7.90763 0.850328 5.66587 0
7.83252 5.99699 2.50924 0
1.73416 3.19787 1.68167 0
5.05186 6.81955 1.25523 0
3.32408 0.296269 3.39669 0
5.62741 5.7528 6.91415 0
5.18298 4.55829 9.75045 0
3.85726 2.52504 1.78446 0
2.08002 9.94145 2.81806 0
2.48425 3.6202 5.3007 0
2.73371 0.968453 6.9123 0
9.20655 5.28244 2.19543 0
8.12226 2.6645 8.9735 0
4.31803 6.30954 8.63396 0
1.47358 2.5188 9.06439 0
9.73276 6.64404 8.35728 0
4.4532 2.0721 2.31927 0
8.44453 0.742394 3.63424 0
2.82518 8.9055 1.84493 0
7.3125 7.08371 0.442721 0
7.11731 7.50612 6.48238 0
1.00061 7.28507 4.02234 0
3.7013 0.927276 6.3096 0
2.23498 2.09666 5.15405 0
0.841671 2.12468 8.45998 0
5.82879 3.88833 7.82501 0
5.68178 6.08605 8.14684 0
4.33736 7.64246 9.55663 0
2.52715 9.12614 6.0272 0
1.70221 0.19399 9.89637 0
0.751516 6.10638 7.82285 0
9.44584 9.33337 9.70138 0
7.27672 4.84633 5.76742 0
3.2916 1.66663 6.41493 0
3.97625 1.72747 2.96373 0
0.251612 6.49439 5.92754 0
2.72167 2.35383 4.82959 0
0.798439 9.32688 2.77767 0
2.30339 2.76428 0.120906 0
3.04216 9.70882 5.84962 0
6.69394 1.53696 3.16872 0
1.6834 3.72559 9.76667 0
1.47115 5.80812 0.737803 0
3.0849 2.39545 6.52931 0
0.849599 8.94831 3.6393 0
6.08896 7.35021 6.78754 0
1.31326 9.82656 3.07763 0
2.36295 7.18404 7.45544 0
5.51466 5.55426 7.07134 0
2.58178 6.49314 0.0790423 0
5.32567 9.59086 0.579269 0
3.37586 6.40122 2.21546 0
7.77783 7.31188 0.277309 0
1.35944 9.27472 8.17169 0
6.99267 8.831 9.96616 0
8.76185 3.00142 1.427 0
4.26926 6.93166 4.79015 0
1.33519 4.29602 5.32098 0
2.67919 4.11732 0.938703 0
2.70628 2.01405 8.81891 0
2.97592 4.67013 3.4682 0
7.17723 7.5443 0.365718 0
9.3954 5.32243 0.59603 0
0.0923043 4.78097 8.73758 0
7.98029 3.78732 7.76156 0
7.51803 9.23126 7.08129 0
0.272465 6.78183 9.29621 0
9.40335 0.0790333 6.26258 0
2.10892 0.556602 5.2233 0
5.36955 9.73948 2.78855 0
9.28555 2.88687 4.26408 0
8.1227 8.30686 6.54315 0
5.08947 0.654096 1.77026 0
0.73934 4.90894 1.3826 0
2.32541 0.806179 3.4215 0
3.69912 5.31664 4.75466 0
9.82583 6.68381 6.04191 0
7.03287 8.67188 6.25564 0
4.11789 9.93638 9.86184 0
7.65209 0.79026 3.00365 0
7.89827 8.89208 5.16138 0
7.38531 8.71819 4.20849 0
3.74522 4.38125 2.14303 0
4.51667 4.91211 0.0529133 0
0.866161 9.18891 7.94929 0
8.88648 6.17308 5.33621 0
7.10069 4.91765 4.39141 0
1.04132 9.10892 5.15717 0
8.22759 9.62068 3.26457 0
1.49909 4.77502 3.60291 0
3.43695 5.02464 3.13257 0
3.9458 9.80021 9.79288 0
9.27743 1.17918 3.50029 0
6.44259 2.61346 3.69844 0
1.46592 7.26639 6.48554 0
3.63474 1.04304 2.60067 0
3.02382 1.57926 9.15932 0
7.71404 0.279395 6.93979 0
4.74295 0.907872 0.0190203 0
1.26747 0.901296 6.53533 0
0.0864194 1.40019 9.30823 0
2.49401 9.52911 4.2761 0
7.65057 6.46588 5.19842 0
3.98654 2.65569 5.35606 0
6.23526 1.6337 9.50814 0
7.19102 5.71908 5.69549 0
9.96542 1.73855 7.68354 0
0.353569 9.46297 5.37187 0
1.61445 0.487102 2.63469 0
2.50114 9.34439 3.39592 0
2.04323 4.15045 6.04005 0
6.9874 8.15732 3.48998 0
7.20271 5.33678 5.70339 0
5.53918 7.87793 8.73686 0
6.90127 6.915 9.35215 0
2.55139 6.43636 1.03753 0
2.41582 0.260768 3.21878 0
2.69262 9.66265 3.92175 0
3.43994 1.10483 6.02079 0
4.75261 9.52794 3.76388 0
1.51621 5.18734 8.76527 0
3.10238 7.73055 8.78194 0
7.38213 1.55956 9.44883 0
0.463107 4.18095 2.36991 0
4.87755 9.50241 3.57149 0
7.54412 5.27138 4.18336 0
3.85258 8.21481 3.05864 0
3.72601 9.56459 2.55577 0
0.0333933 9.12176 9.65037 0
2.82363 1.93116 2.16627 0
6.95467 6.60909 3.37333 0
7.49181 7.65916 0.685125 0
5.65535 0.168884 0.621781 0
